slug,n_samples,hidden_size,dim_over_samples,mix,repeats,cka_biased,cka_biased_std,cka_unbiased,cka_unbiased_std,bias
smollm2360m,1329,960,0.7223476297968398,0.0,2,0.4190677681959988,0.001085893764350051,-0.00013945686333509974,0.0015250547276927447,0.4192072250593339
smollm2360m,1329,960,0.7223476297968398,0.3,2,0.471115603323934,0.0003694135051346185,0.08954407590320262,0.0006676741794314167,0.38157152742073136
smollm2360m,1329,960,0.7223476297968398,0.7,2,0.703929271495189,0.00015011854117338863,0.48986974620677315,0.00036028803716256307,0.21405952528841588
smollm2360m,1329,960,0.7223476297968398,0.9,2,0.8897729195506041,0.00014075291023938109,0.8101352182471644,0.00047540867323937503,0.07963770130343972
smollm2360m,1329,960,0.7223476297968398,0.95,2,0.9434691650212346,0.00010835457077722546,0.9026724171663529,0.00015598512625876013,0.04079674785488163
smollm2360m,1329,960,0.7223476297968398,0.98,2,0.9770747299295406,4.992720361937262e-05,0.9605447846265782,0.00010454957516405761,0.016529945302962368
smollm2360m,1329,960,0.7223476297968398,0.99,2,0.9884537970010652,5.365592109829396e-05,0.9801252834667848,9.612776704317475e-05,0.008328513534280324
smollm2360m,1329,960,0.7223476297968398,0.997,2,0.9965232599867664,8.543862649636841e-06,0.9940118176484894,1.3883741079923258e-05,0.002511442338276937
smollm2360m,1329,960,0.7223476297968398,1.0,2,1.0,0.0,1.0,0.0,0.0
pythia410m,1444,1024,0.7091412742382271,0.0,2,0.415050799686996,0.0010726285866819298,0.0002474443187088205,0.0018781798282880805,0.41480335536828716
pythia410m,1444,1024,0.7091412742382271,0.3,2,0.46831419191776036,0.00041011635376792124,0.09066292386674893,0.000525204020663814,0.37765126805101146
pythia410m,1444,1024,0.7091412742382271,0.7,2,0.7010015561607801,0.000334732829639462,0.4889654370197192,0.0005244870945232518,0.2120361191410609
pythia410m,1444,1024,0.7091412742382271,0.9,2,0.8886905390034971,0.00022731164281814697,0.8096638531719649,0.0003281556354837444,0.07902668583153227
pythia410m,1444,1024,0.7091412742382271,0.95,2,0.9429906275795359,2.344550191029962e-05,0.9025902540727357,5.0674924718424625e-05,0.04040037350680015
pythia410m,1444,1024,0.7091412742382271,0.98,2,0.9769180044728654,9.270854867924777e-05,0.9605769205708455,0.00016936088972900937,0.016341083902019826
pythia410m,1444,1024,0.7091412742382271,0.99,2,0.9883800557163132,1.189480983672981e-05,0.9801395590002786,3.315626904417229e-05,0.008240496716034551
pythia410m,1444,1024,0.7091412742382271,0.997,2,0.9964872411908081,2.6241278105963377e-06,0.9939952775610967,1.0106284775355547e-05,0.00249196362971138
pythia410m,1444,1024,0.7091412742382271,1.0,2,1.0,0.0,1.0,0.0,0.0
bloom560m,1452,1024,0.7052341597796143,0.0,2,0.41351421231303975,0.000642891833745392,-0.0006001952730539515,0.0013141849949090533,0.4141144075860937
bloom560m,1452,1024,0.7052341597796143,0.3,2,0.4666731625478542,0.0002452304671552623,0.09011298692284266,0.0005149937975990298,0.37656017562501154
bloom560m,1452,1024,0.7052341597796143,0.7,2,0.7011601082822205,0.00016678999501125517,0.4901828972641957,0.00010571305939648514,0.2109772110180248
bloom560m,1452,1024,0.7052341597796143,0.9,2,0.8883353705957211,0.00021619910845289628,0.8095182243548067,0.00042936708817845347,0.0788171462409144
bloom560m,1452,1024,0.7052341597796143,0.95,2,0.9429752129527343,0.0002080340090028746,0.9028046033485331,0.00032581241679831936,0.04017060960420127
bloom560m,1452,1024,0.7052341597796143,0.98,2,0.9768117896246434,7.029374847487365e-05,0.9604724628716683,0.00013712293401368475,0.016339326752975114
bloom560m,1452,1024,0.7052341597796143,0.99,2,0.9883495636353756,3.194337016492101e-06,0.9801275635016855,5.98830055980295e-06,0.008222000133690122
bloom560m,1452,1024,0.7052341597796143,0.997,2,0.9964809539354365,2.023189825745264e-06,0.9940024163969556,3.1466537128206823e-06,0.0024785375384808184
bloom560m,1452,1024,0.7052341597796143,1.0,2,1.0,1.1102230246251565e-16,1.0,0.0,0.0
