slug,label,seed,layer,depth_norm,relational,anisotropy_base,anisotropy_ft,ceiling,headroom_used,saturation_class
smollm2360m,SmolLM2-360M,44,14,0.4375,0.0092438961986454,0.6453121891020379,0.6424966885249923,0.7121911223729698,0.012979516183584823,neither
smollm2360m,SmolLM2-360M,44,15,0.46875,0.0097001304837416,0.6548891697075954,0.6517090646348084,0.6934017656575963,0.01398919207328865,neither
smollm2360m,SmolLM2-360M,44,16,0.5,0.0113264932743806,0.6599285160645179,0.6541302343890671,0.685941249546415,0.016512337291087753,neither
smollm2360m,SmolLM2-360M,44,17,0.53125,0.0163865614970201,0.6896298560501931,0.6753435030402948,0.6350266409095122,0.02580452604878209,neither
smollm2360m,SmolLM2-360M,44,18,0.5625,0.0211646744038188,0.6750436692522466,0.6554086921824781,0.6695476385652753,0.03161040855759126,neither
smollm2360m,SmolLM2-360M,44,19,0.59375,0.0205658779135102,0.6870713994742952,0.668248002850415,0.6446805976752898,0.031900879269006234,neither
smollm2360m,SmolLM2-360M,44,20,0.625,0.0155833161667901,0.7188573041486921,0.7060360236398634,0.5751066722114445,0.02709639258203688,neither
smollm2360m,SmolLM2-360M,44,21,0.65625,0.0187632668314792,0.7103546229603571,0.6944369278049083,0.5952084492347345,0.03152385833165393,neither
smollm2360m,SmolLM2-360M,44,22,0.6875,0.0257377187478031,0.7318187327864886,0.7074314508871408,0.5607498163263708,0.045898755556298014,neither
smollm2360m,SmolLM2-360M,44,23,0.71875,0.0175116199320695,0.7398882832682648,0.726272655879339,0.5338390608523961,0.032803182112804176,neither
smollm2360m,SmolLM2-360M,44,24,0.75,0.020873114768475,0.7386780971102754,0.7231299766050145,0.5381919262847099,0.03878377535792478,neither
smollm2360m,SmolLM2-360M,44,25,0.78125,0.0206406166843548,0.7586926135541896,0.7438284479523155,0.4974789384934949,0.0414904332369534,neither
smollm2360m,SmolLM2-360M,44,26,0.8125,0.0279610059001609,0.7431507858538005,0.7197501295492947,0.5370990845969048,0.052059306563789355,neither
smollm2360m,SmolLM2-360M,44,27,0.84375,0.0250365166626922,0.7588198446166008,0.7392138518345187,0.5019663035488805,0.04987688712506216,neither
smollm2360m,SmolLM2-360M,44,28,0.875,0.0329288114684309,0.7709418333125613,0.7417308641203365,0.4873273025671022,0.06757021676185851,neither
smollm2360m,SmolLM2-360M,44,29,0.90625,0.028293066762848,0.7897534484091658,0.7658787033875266,0.44436784820330744,0.06367037326675205,neither
smollm2360m,SmolLM2-360M,44,30,0.9375,0.0304051037138172,0.8238210075172481,0.7965523150531251,0.37962667742962686,0.08009211554805322,neither
smollm2360m,SmolLM2-360M,44,31,0.96875,0.0302626156448376,0.8442367930308524,0.8164156415496949,0.33934756541945255,0.08917882056242636,neither
smollm2360m,SmolLM2-360M,44,32,1.0,0.1111455697466302,0.780634706475279,0.67721455671001,0.542150736814711,0.2050086114419799,neither
pythia410m,Pythia-410M,42,0,0.0,0.0009844821463062,0.063038553101193,0.062659199785132,1.874302247113675,0.0005252526095096187,neither
pythia410m,Pythia-410M,42,1,0.041666666666666664,0.0662478422361226,0.301064204320026,0.2349561575461819,1.4639796381337922,0.04525188773839233,neither
pythia410m,Pythia-410M,42,2,0.08333333333333333,0.0540967604046916,0.4424075980917022,0.3926882328729072,1.1649041690353905,0.04643880745099137,neither
pythia410m,Pythia-410M,42,3,0.125,0.0908288997436549,0.5494004916542403,0.4603617006911866,0.990237807654573,0.09172433029878714,neither
pythia410m,Pythia-410M,42,4,0.16666666666666666,0.0638971074340127,0.5578878435799238,0.5071789909624106,0.9349331654576657,0.06834403762191277,neither
pythia410m,Pythia-410M,42,5,0.20833333333333334,0.0698805105632233,0.5757791566516941,0.5180568568356843,0.9061639865126216,0.0771168481680219,neither
pythia410m,Pythia-410M,42,6,0.25,0.0531379313921859,0.5411245887407657,0.5164736339923016,0.9424017772669325,0.05638564429100683,neither
pythia410m,Pythia-410M,42,7,0.2916666666666667,0.062246867033361,0.5164188569424099,0.4785207512563176,1.0050603918012726,0.06193345946287064,neither
pythia410m,Pythia-410M,42,8,0.3333333333333333,0.0543688976620539,0.5298113485190488,0.5121553925805216,0.9580332589004297,0.05675053256966788,neither
pythia410m,Pythia-410M,42,9,0.375,0.066105610826808,0.5229485674087211,0.48743404254881,0.989617390042469,0.06679916045530598,neither
pythia410m,Pythia-410M,42,10,0.4166666666666667,0.0819922958572485,0.5366837390514606,0.4749198155705825,0.988396445377957,0.08295486718985025,neither
pythia410m,Pythia-410M,42,11,0.4583333333333333,0.0835012167823084,0.5467660470956646,0.4850153782852153,0.9682185746191201,0.08624211409614435,neither
pythia410m,Pythia-410M,42,12,0.5,0.0918369088706235,0.5804866532137664,0.5074850314403327,0.912028315345901,0.10069523865143695,neither
pythia410m,Pythia-410M,42,13,0.5416666666666666,0.0798184303953262,0.5747546761655348,0.5263557177618756,0.8988896060725897,0.08879669967936026,neither
pythia410m,Pythia-410M,42,14,0.5833333333333334,0.0914904755893282,0.610655782076791,0.5431462662133557,0.8461979517098532,0.10811947181443747,neither
pythia410m,Pythia-410M,42,15,0.625,0.0810326999081571,0.5861166863033367,0.5408400966098055,0.8730432170868578,0.09281636730257682,neither
pythia410m,Pythia-410M,42,16,0.6666666666666666,0.0798608692056158,0.5998221544194198,0.5619163001444513,0.838261545436129,0.09526963230081842,neither
pythia410m,Pythia-410M,42,17,0.7083333333333334,0.0922752198670522,0.6580907335683233,0.5991867095876275,0.7427225568440492,0.12423915096795343,neither
pythia410m,Pythia-410M,42,18,0.75,0.1001622837193358,0.7413455960514711,0.6656044552107863,0.5930499487377425,0.16889350371334302,neither
pythia410m,Pythia-410M,42,19,0.7916666666666666,0.0966747295466739,0.7501927739237879,0.6862676028384739,0.5635396232377382,0.17154912549226395,neither
pythia410m,Pythia-410M,42,20,0.8333333333333334,0.0973685801425866,0.756390484077631,0.7216419785894985,0.5219675373328705,0.18654144784581203,neither
pythia410m,Pythia-410M,42,21,0.875,0.0946360695871677,0.7696081639225839,0.7438908041330705,0.4865010319443457,0.19452388252692093,neither
pythia410m,Pythia-410M,42,22,0.9166666666666666,0.0808049406553599,0.7641237972611808,0.7814893100322275,0.4543868927065917,0.17783290396877172,neither
pythia410m,Pythia-410M,42,23,0.9583333333333334,0.1003924540286849,0.6993172872787298,0.765119278931715,0.5355634337895551,0.1874520321865985,neither
pythia410m,Pythia-410M,42,24,1.0,0.1911938224992234,0.6014950680653924,0.791142060199795,0.6073628717348126,0.3147933984721783,neither
pythia410m,Pythia-410M,43,0,0.0,0.0008469793851264,0.0597832709741891,0.0594773664022298,1.880739362623581,0.0004503438392148535,neither
pythia410m,Pythia-410M,43,1,0.041666666666666664,0.0454556244362647,0.2971133498549959,0.2532982566417773,1.4495883935032268,0.031357607883719246,neither
pythia410m,Pythia-410M,43,2,0.08333333333333333,0.0353410794927096,0.4379124927730858,0.4103046316333011,1.151782875593613,0.030683803554984523,neither
pythia410m,Pythia-410M,43,3,0.125,0.0432618163003265,0.546129615020323,0.5146120754078618,0.9392583095718152,0.04605955130708239,neither
pythia410m,Pythia-410M,43,4,0.16666666666666666,0.0406240809285057,0.5560390616941204,0.5413269735347198,0.9026339647711598,0.04500615145675902,neither
pythia410m,Pythia-410M,43,5,0.20833333333333334,0.0526290666297011,0.5719227183482742,0.5392180916900071,0.8888591899617186,0.05920967823032546,neither
pythia410m,Pythia-410M,43,6,0.25,0.0465088446442501,0.5342623651889576,0.5306524471232483,0.9350851876877939,0.049737548254029734,neither
pythia410m,Pythia-410M,43,7,0.2916666666666667,0.0548827711246371,0.5076704572942157,0.5206630212045451,0.9716665215012392,0.05648313481032814,neither
pythia410m,Pythia-410M,43,8,0.3333333333333333,0.067491533682925,0.5222959975377078,0.5578128225341604,0.9198911799281319,0.07336904098612827,neither
pythia410m,Pythia-410M,43,9,0.375,0.0707509524376703,0.5145382453334596,0.5415431434586434,0.9439186112078969,0.07495450518465038,neither
pythia410m,Pythia-410M,43,10,0.4166666666666667,0.0664754795407696,0.5280705519209796,0.5300690190449135,0.9418604290341068,0.07057890690762036,neither
pythia410m,Pythia-410M,43,11,0.4583333333333333,0.0715691791388753,0.5376981741242839,0.522055276548157,0.9402465493275591,0.07611746003222217,neither
pythia410m,Pythia-410M,43,12,0.5,0.0728889339577923,0.5714377487180776,0.5492853626001077,0.8792768886818145,0.08289645150012438,neither
pythia410m,Pythia-410M,43,13,0.5416666666666666,0.0765979185397147,0.5650657265280574,0.5566191447078549,0.8783151287640877,0.08721006394083032,neither
pythia410m,Pythia-410M,43,14,0.5833333333333334,0.0841609176528947,0.602236935549925,0.5762055815128406,0.8215574829372343,0.10244069270965968,neither
pythia410m,Pythia-410M,43,15,0.625,0.0847325002109802,0.5763046557560746,0.5684256715765585,0.8552696726673668,0.09907109174901672,neither
pythia410m,Pythia-410M,43,16,0.6666666666666666,0.0884414692734454,0.5876523951201991,0.5965923681688973,0.8157552367109037,0.1084166736459312,neither
pythia410m,Pythia-410M,43,17,0.7083333333333334,0.0917480523266458,0.6459431708482513,0.6313931012853207,0.7226637278664281,0.12695815327208984,neither
pythia410m,Pythia-410M,43,18,0.75,0.1046511405411154,0.7331759933802866,0.6721929546997301,0.5946310519199833,0.17599339994642227,neither
pythia410m,Pythia-410M,43,19,0.7916666666666666,0.1051302194951211,0.7435748426712202,0.6896913279363058,0.5667338293924741,0.18550193061144474,neither
pythia410m,Pythia-410M,43,20,0.8333333333333334,0.1085047560493722,0.7505212164997885,0.7229502834220407,0.5265285000781708,0.20607575094845407,neither
pythia410m,Pythia-410M,43,21,0.875,0.1049138926815387,0.7624179452853832,0.7465994784881105,0.4909825762265063,0.21368149861419622,neither
pythia410m,Pythia-410M,43,22,0.9166666666666666,0.1142452740341787,0.7580472496191966,0.7550348782797678,0.48691787210103565,0.23462945309691313,neither
pythia410m,Pythia-410M,43,23,0.9583333333333334,0.1321665432444561,0.6936115653366156,0.7403013083140266,0.5660871263493579,0.23347385427537556,neither
pythia410m,Pythia-410M,43,24,1.0,0.2233524343205198,0.5848370667134318,0.8052766724449736,0.6098862608415945,0.3662198161544273,neither
pythia410m,Pythia-410M,44,0,0.0,0.0008778694728162,0.061987589059743,0.0617060423313944,1.8763063686088626,0.0004678710723915908,neither
pythia410m,Pythia-410M,44,1,0.041666666666666664,0.0503971618201979,0.2942629529009191,0.2446412968899625,1.4610957502091184,0.03449271672509131,neither
pythia410m,Pythia-410M,44,2,0.08333333333333333,0.0388178138239419,0.4394879668990571,0.4067233938705932,1.1537886392303498,0.033643782322068834,neither
pythia410m,Pythia-410M,44,3,0.125,0.044463220514623,0.5478263670545381,0.5130703815670079,0.9391032513784541,0.04734646637561746,neither
pythia410m,Pythia-410M,44,4,0.16666666666666666,0.0449039065557831,0.5578010696696072,0.5418525075284252,0.9003464228019676,0.04987403228197173,neither
pythia410m,Pythia-410M,44,5,0.20833333333333334,0.0546297881216803,0.5769696698335864,0.5618276641657587,0.8612026660006549,0.06343429982094222,neither
pythia410m,Pythia-410M,44,6,0.25,0.0588886627633276,0.5427010767919709,0.5761392305241959,0.8811596926838332,0.06683086306860532,neither
pythia410m,Pythia-410M,44,7,0.2916666666666667,0.0655321114800221,0.5175876399998969,0.5585328035429631,0.92387955645714,0.0709314444962093,neither
pythia410m,Pythia-410M,44,8,0.3333333333333333,0.0651464406139335,0.5307253587600906,0.5667941993408372,0.9024804418990722,0.07218598607726845,neither
pythia410m,Pythia-410M,44,9,0.375,0.06797718341613,0.5242402212429291,0.547773376050582,0.9279864027064889,0.0732523485450577,neither
pythia410m,Pythia-410M,44,10,0.4166666666666667,0.0672100337567637,0.5387017104006759,0.5508017708099958,0.9104965187893282,0.07381690360126993,neither
pythia410m,Pythia-410M,44,11,0.4583333333333333,0.0703397652884741,0.547804354464728,0.549147451039972,0.9030481944953,0.07789148543482326,neither
pythia410m,Pythia-410M,44,12,0.5,0.0777223171413394,0.5809303107019053,0.5554123040433829,0.8636573852547118,0.08999207147220463,neither
pythia410m,Pythia-410M,44,13,0.5416666666666666,0.0788154297787335,0.5752699202409322,0.5594469741218193,0.8652831056372485,0.09108629218027885,neither
pythia410m,Pythia-410M,44,14,0.5833333333333334,0.0911615234944745,0.6102583520362728,0.5621616095081501,0.8275800384555771,0.11015432859472947,neither
pythia410m,Pythia-410M,44,15,0.625,0.0889914481138635,0.5855432851326471,0.5487072289276381,0.8657494859397147,0.10279122258706175,neither
pythia410m,Pythia-410M,44,16,0.6666666666666666,0.0942242343655754,0.60114313977524,0.5606952032125699,0.83816165701219,0.11241773418919952,neither
pythia410m,Pythia-410M,44,17,0.7083333333333334,0.113161028750687,0.6583779261711152,0.5850855088046465,0.7565365650242384,0.14957773884605494,neither
pythia410m,Pythia-410M,44,18,0.75,0.1263142246096646,0.7408720280434742,0.6415877325989539,0.617540239357572,0.20454411965294678,neither
pythia410m,Pythia-410M,44,19,0.7916666666666666,0.1185052021913132,0.7486257917864789,0.6588586767413076,0.5925155314722135,0.20000353728595993,neither
pythia410m,Pythia-410M,44,20,0.8333333333333334,0.1071702815524983,0.7549161101431412,0.6991339453309442,0.5459499445259146,0.19630056313232438,neither
pythia410m,Pythia-410M,44,21,0.875,0.1045290370203008,0.7685673711975264,0.7195538492197673,0.5118787795827062,0.20420662311009444,neither
pythia410m,Pythia-410M,44,22,0.9166666666666666,0.1085971350412025,0.7628212717059755,0.7047413263511171,0.5324374019429075,0.20396225855832573,neither
pythia410m,Pythia-410M,44,23,0.9583333333333334,0.1120582366380457,0.6991918061222089,0.6768149592556746,0.6239932346221165,0.17958245445706947,neither
pythia410m,Pythia-410M,44,24,1.0,0.1479445110060224,0.6029724251176777,0.7433132963468869,0.6537142785354353,0.22631372124450685,neither
bloom560m,BLOOM-560M,42,0,0.0,0.0032263424027042,0.0623715855479546,0.0603267852202782,1.8773016292317672,0.001718606297712792,neither
bloom560m,BLOOM-560M,42,1,0.041666666666666664,0.0115993601646831,0.1493628811836644,0.1426542503054285,1.707982868510907,0.006791262593164017,neither
bloom560m,BLOOM-560M,42,2,0.08333333333333333,0.0188862248149473,0.203971373927187,0.1938023572715987,1.602226268801214,0.011787489184706712,neither
bloom560m,BLOOM-560M,42,3,0.125,0.0238031923468647,0.2409437344714758,0.2483717092739694,1.5106845562545548,0.015756560327776194,neither
bloom560m,BLOOM-560M,42,4,0.16666666666666666,0.0310624891990017,0.2861696458510788,0.2975842639964828,1.4162460901524385,0.021932974371465533,neither
bloom560m,BLOOM-560M,42,5,0.20833333333333334,0.0356199154011979,0.3010004584429741,0.3065621599243419,1.3924373816326843,0.025580981860334886,neither
bloom560m,BLOOM-560M,42,6,0.25,0.0381446157227028,0.3318858491461476,0.3283164562532856,1.3397976946005667,0.02847042943604619,neither
bloom560m,BLOOM-560M,42,7,0.2916666666666667,0.0389241130729862,0.3602916642188892,0.3530776842884587,1.2866306514926522,0.030252748158789287,neither
bloom560m,BLOOM-560M,42,8,0.3333333333333333,0.0420192349701128,0.3738995152803808,0.3606509505103647,1.2654495342092544,0.033204986713570916,neither
bloom560m,BLOOM-560M,42,9,0.375,0.0451353617703931,0.3864568621583868,0.367577030245911,1.2459661075957023,0.03622519223856679,neither
bloom560m,BLOOM-560M,42,10,0.4166666666666667,0.0448747687472988,0.4210907657420483,0.401275039801234,1.1776341944567177,0.03810586424759944,neither
bloom560m,BLOOM-560M,42,11,0.4583333333333333,0.0481280288995186,0.4238935534559026,0.4028346028390996,1.1732718437049978,0.0410203561584997,neither
bloom560m,BLOOM-560M,42,12,0.5,0.055818544087545,0.4291852498846465,0.3967447328920493,1.1740700172233043,0.04754277280630742,neither
